taxonomy_id,S1,S2,S3,S4,S5,S6,S7
2929799,122,93,118,141,32,196,27
192389,96,32,21,99,57,148,146
1324352,90,36,21,206,52,255,173
2497456,96,75,12,272,67,267,169
1854498,247,,,191,75,35,170
421058,61,77,22,69,91,74,141
1241982,95,149,20,144,57,224,72
2759528,60,185,29,190,74,200,345
1813611,76,92,17,78,171,198,116
2852098,35,35,10,69,67,174,28
112234,26,52,17,209,64,527,26
1241978,112,146,,579,129,1751,627
266749,266,110,74,353,178,232,81
2878534,156,17,12,47,29,,139
2908645,95,202,19,436,59,414,57
2989820,23,266,17,201,161,601,144
2487074,112,55,87,80,52,274,165
2038776,90,51,42,160,88,26,49
1241979,89,68,20,146,104,208,246
2820270,42,18,21,168,51,266,70
266748,10,18,22,46,18,37,87
1416779,84,37,,204,320,316,79
2487072,23,46,18,108,109,339,98
28251,26881,22131,13573,10728,11637,23473,8453
34085,2412,1984,1717,6191,3564,2395,1236
238,283,43,58,367,164,597,95
172045,323,221,,401,120,331,227
2583851,135,59,18,107,606,297,74
2796140,30,113,,77,,,
2575699,13,,,78,68,277,
1117645,206,427,89,285,185,1579,334
1756150,117,14,22,174,34,186,93
2898187,988,156,59,871,265,2417,280
247,200,48,19,136,142,96,129
343874,232,121,112,213,65,163,149
1628248,28,30,30,211,66,565,150
2004710,122,82,67,308,128,822,282
1118202,109,52,57,149,182,241,190
2656760,58,81,,,62,,208
2500547,39,158,13,78,36,34,859
1014,52,209,56,155,222,253,
1585976,16,72,,48,12,,21
1653831,536,385,239,1204,472,831,969
624186,68,,,19,11,10,14
1316444,44,,,78,22,160,14
2715232,11,,,,,21,
191579,131,141,256,203,149,163,345
2862509,77,28,,203,61,513,200
253245,81,265,37,193,113,445,192
2761580,62,136,15,75,10,61,79
336810,73,127,43,108,89,28,47
1415657,25,,,36,,,44
2829795,30,29,49,95,231,319,477
242600,10,115,11,60,,29,85
2932254,219,639,103,256,202,40,196
2932248,194,153,24,167,185,161,124
2761579,171,358,27,154,163,111,70
2584940,204,59,51,300,174,677,120
2932249,143,193,119,307,167,279,63
2987688,141,95,96,270,241,224,127
1484116,104,57,54,193,187,23,163
2596915,114,65,36,123,157,381,198
2835648,104,133,44,294,111,29,155
1484118,108,409,39,340,135,23,87
1385664,86,92,29,319,131,773,51
2932253,410,454,171,530,341,,
2932250,51,242,33,198,187,36,94
1385663,55,24,,61,82,38,60
1356852,65,235,78,116,88,207,144
2675878,35,41,12,133,68,183,
2675877,59,141,,93,154,58,
2987689,25,170,11,190,34,,29
2932251,25,87,12,183,80,88,151
497967,203,352,138,333,146,278,54
2502781,127,268,25,368,181,473,111
1705399,130,96,40,221,174,202,51
2319843,115,265,28,236,309,,32
2607656,75,296,33,140,85,306,19
2615203,123,190,131,105,181,60,168
1385715,64,511,59,189,193,409,63
1411621,55,102,73,155,26,63,181
2496028,281,279,76,508,563,123,
1850093,41,180,36,236,150,58,16
1446467,37,179,16,263,29,148,
